probabilidad,clase,solicitudes
0.008333333333333333,Legítima,164966
0.025,Legítima,22845
0.04166666666666667,Legítima,6516
0.058333333333333334,Legítima,3008
0.075,Legítima,0
0.09166666666666667,Legítima,185
0.10833333333333334,Legítima,1482
0.125,Legítima,1184
0.14166666666666666,Legítima,0
0.15833333333333333,Legítima,635
0.175,Legítima,0
0.19166666666666665,Legítima,0
0.20833333333333334,Legítima,240
0.225,Legítima,16
0.24166666666666667,Legítima,85
0.2583333333333333,Legítima,275
0.275,Legítima,0
0.29166666666666663,Legítima,0
0.30833333333333335,Legítima,0
0.32499999999999996,Legítima,288
0.3416666666666667,Legítima,168
0.3583333333333333,Legítima,194
0.375,Legítima,0
0.39166666666666666,Legítima,0
0.4083333333333333,Legítima,0
0.42500000000000004,Legítima,0
0.44166666666666665,Legítima,0
0.45833333333333337,Legítima,0
0.475,Legítima,0
0.4916666666666667,Legítima,0
0.5083333333333333,Legítima,8
0.5249999999999999,Legítima,0
0.5416666666666667,Legítima,0
0.5583333333333333,Legítima,0
0.575,Legítima,0
0.5916666666666667,Legítima,0
0.6083333333333334,Legítima,0
0.625,Legítima,14
0.6416666666666666,Legítima,0
0.6583333333333333,Legítima,1
0.675,Legítima,5
0.6916666666666667,Legítima,1
0.7083333333333333,Legítima,0
0.725,Legítima,0
0.7416666666666667,Legítima,1
0.7583333333333333,Legítima,0
0.7749999999999999,Legítima,0
0.7916666666666667,Legítima,1
0.8083333333333333,Legítima,13
0.825,Legítima,0
0.8416666666666667,Legítima,0
0.8583333333333334,Legítima,0
0.875,Legítima,0
0.8916666666666666,Legítima,0
0.9083333333333333,Legítima,0
0.925,Legítima,0
0.9416666666666667,Legítima,0
0.9583333333333333,Legítima,0
0.975,Legítima,0
0.9916666666666667,Legítima,2
0.008333333333333333,Fraude,556
0.025,Fraude,580
0.04166666666666667,Fraude,363
0.058333333333333334,Fraude,255
0.075,Fraude,0
0.09166666666666667,Fraude,27
0.10833333333333334,Fraude,191
0.125,Fraude,214
0.14166666666666666,Fraude,0
0.15833333333333333,Fraude,138
0.175,Fraude,0
0.19166666666666665,Fraude,0
0.20833333333333334,Fraude,59
0.225,Fraude,10
0.24166666666666667,Fraude,31
0.2583333333333333,Fraude,85
0.275,Fraude,0
0.29166666666666663,Fraude,0
0.30833333333333335,Fraude,0
0.32499999999999996,Fraude,97
0.3416666666666667,Fraude,65
0.3583333333333333,Fraude,125
0.375,Fraude,0
0.39166666666666666,Fraude,0
0.4083333333333333,Fraude,0
0.42500000000000004,Fraude,0
0.44166666666666665,Fraude,0
0.45833333333333337,Fraude,0
0.475,Fraude,0
0.4916666666666667,Fraude,0
0.5083333333333333,Fraude,7
0.5249999999999999,Fraude,0
0.5416666666666667,Fraude,0
0.5583333333333333,Fraude,0
0.575,Fraude,0
0.5916666666666667,Fraude,0
0.6083333333333334,Fraude,0
0.625,Fraude,28
0.6416666666666666,Fraude,1
0.6583333333333333,Fraude,2
0.675,Fraude,8
0.6916666666666667,Fraude,0
0.7083333333333333,Fraude,0
0.725,Fraude,0
0.7416666666666667,Fraude,0
0.7583333333333333,Fraude,0
0.7749999999999999,Fraude,1
0.7916666666666667,Fraude,1
0.8083333333333333,Fraude,25
0.825,Fraude,0
0.8416666666666667,Fraude,0
0.8583333333333334,Fraude,0
0.875,Fraude,0
0.8916666666666666,Fraude,0
0.9083333333333333,Fraude,0
0.925,Fraude,3
0.9416666666666667,Fraude,0
0.9583333333333333,Fraude,0
0.975,Fraude,0
0.9916666666666667,Fraude,6
