variable,mes_6,mes_7,estado
velocity_4w,2.6960646352000284,3.6977533640970046,Alerta
velocity_24h,1.2824268749438796,2.323396587631116,Alerta
velocity_6h,0.7433977030494616,1.2246684885960502,Alerta
zip_count_4w,0.23087249722098493,0.7872153064174348,Alerta
date_of_birth_distinct_emails_4w,0.2996314020194543,0.48914994821364727,Alerta
credit_risk_score,0.20464946607968462,0.24439045181286131,Vigilar
bank_branch_count_8w,0.015952785438915346,0.09334727202745871,Estable
current_address_months_count,0.020499965705958505,0.09122555965732329,Estable
session_length_in_minutes,0.015400768957763301,0.08791969498175933,Estable
income,0.07939186852852713,0.06283289234616021,Estable
proposed_credit_limit,0.08377916778675444,0.05044071492934209,Estable
customer_age,0.009686549728626507,0.04478330290180373,Estable
name_email_similarity,0.09188721216513893,0.041314436210356846,Estable
housing_status,0.036457382889401986,0.04072878817444051,Estable
payment_type,0.019582079101337767,0.039628309112962244,Estable
prev_address_months_count,0.0007798558754480609,0.03790228280135653,Estable
intended_balcon_amount,0.01935728413088088,0.035823342078607566,Estable
days_since_request,0.014721153794573267,0.03023854155576224,Estable
keep_alive_session,1.408603049102636e-05,0.0263268101733722,Estable
phone_home_valid,0.007431215374572267,0.02520052276504401,Estable
bank_months_count,0.005348882456569186,0.020662010816508182,Estable
employment_status,0.0208674120764435,0.02034535261988763,Estable
device_distinct_emails_8w,0.009844416720811584,0.018714955491665377,Estable
email_is_free,0.020478966343392593,0.00801382597193876,Estable
has_other_cards,0.0014311225420455486,0.005730691492783603,Estable
device_os,0.027524903418457956,0.002446702044861291,Estable
phone_mobile_valid,0.009158061587478603,0.0023129570246190638,Estable
source,0.00025330854037277354,0.002047216925726668,Estable
foreign_request,0.00037944198576138154,0.0008276575488606823,Estable
